you أنت
writer كاتب
yard حديقة منزل
abroad خارج البلاد
alarm إنذار
anxious قلق
arrive يصل
assistance مساعدة
attach يربط
behave تصرف
bend يلوي
bicycle دراجة
bite يعض
blind أعمى
bottle زجاجة
brave شجاع
breath يتنفس
briefly موجز
buyer مشتر
cable كابل
calm هدوء
candle شمعة
celebrate احتفل
chest صدر
chocolate شوكولاتة
clerk كاتب ملفات
cloud غيم
comprehensive شاملة
concentrate تركيز
concert حفلة موسيقية
conclusion خاتمة
contribution مساهمة
convince يقنع
cookie بسكويت
counter عداد
courage شجاعة
curious فضولي
dad بابا
desk طاولة مكتب
dirty قذر
disagree تعارض
downtown وسط البلد
drawer الدرج
establish إنشاء
establishment مؤسسة
estimate تقدير
examination فحص
flower زهرة
garbage قمامة
grand كبير
grandfather جد
grocery خضروات
harm ضرر وتلف
honest صادق
honey عسل
ignore يتجاهل
imply لمح
impression انطباع
impressive بديع
improvement تحسين
independence استقلال
informal غير رسمي
inner داخلي
insect الحشرات
insist أصر
inspection تقتيش
inspector مفتش
king ملك
knee ركبة
ladder سلم
lawyer محامي
leather جلد
load حمل
loose لين
male الذكر
menu قائمة
mine الخاص بي
mirror مرآة
moreover وعلاوة على ذلك
neck رقبة
penalty ضربة جزاء
pension راتب تقاعد
piano بيانو
plate لوحة
pleasant جذاب
pleased مسرور
potato البطاطس
profession مهنة
professor دكتور جامعى
prompt مستعجل
proposed مقترح
purple ليلكي
pursue طارد، تعقب، متابعة
quantity كمية
quiet هادئ
reaction تفاعل
refuse رفض
regret ندم
remaining متبقي
requirement المتطلبات
reveal كشف
ruin خراب
rush يسرع
salad سلطة
sexual الجنس
shake هزة
shift تحول
shine يلمع
ship سفينة
sister أخت
skirt تنورة
slice شريحة
snow ثلج
specialist متخصص
specify حدد
steal سرقة
stroke السكتة الدماغية
strongly بقوة
suck مص
sudden مفاجئ
supermarket سوبر ماركت
surround تحيط به
switch مفتاح كهربائي
terrible كريه
tired متعبه
tongue لسان
trash قمامة، يدمر، يهدم
tune نغم
unable غير قادر
warn حذر
weak ضعيف
weakness ضعف
wedding زفاف
wooden خشبي
worried قلق
yeah نعم
zone منطقة
accuse اتهم
admire معجب
admit يعترف
adopt يتبنى
affair قضية
ambition طموح
analyst المحلل
anger غضب
announce أعلن
anybody اي شخص
apologize اعتذر
apple تفاحة
approve يوافق
asleep نائم
assignment مهمة
assistant مساعد
attend حضر
award جائزة
bathroom دوره المياه
bear يتحمل
bedroom غرفة نوم
beer بيرة
belong ينتمي ل
bid المناقصة
birthday عيد الميلاد
bitter مرارة - مر
boot حذاء طويل
brilliant متألق
bug حشرة
camp معسكر
candy حلويات
carpet سجاد
cat قطة
celebration احتفال
champion بطل
championship بطولة
channel قناة
cheek خد
client زبون
clock ساعة حائط
comfort راحة
commit ارتكب
confident موثوق
conscious واع
consequence عاقبة
cow بقرة
crack الكراك
criticize ينتقد
dare تجرؤ
dear عزيزي
decent مقبول
delay تأخير
departure مقال
deserve استحق
destroy هدم
diamond الماس
dirt التراب
disappointed خائب الامل
drunk سكران
ear أذن
embarrassed محرج
empty فارغة
engineer مهندس
entrance مدخل
fault خطأ
female أنثى
fortune حظ
friendship صداقة
funeral مأتم
gene جين
girlfriend صديقة
grass عشب
guilty مذنب
guy شاب
hat قبعة
hell الجحيم
hesitate يتردد
highlight تسليط الضوء
honestly بكل صراحه
hurry عجل
illustrate يوضح
incident حادثة
indication إشارة
inevitable المحتوم
inform يخبر
intention نية
invite يدعو
island جزيرة
joke نكتة
jury هيئة المحلفين
kiss قبلة
lady سيدة
leg ساق
lip شفة
lonely وحيدا
mad مجنون
manufacturing تصنيع
marry الزواج
mate رفيق
midnight منتصف الليل
motor محرك
neat مرتب
negotiation تفاوض
nerve عصب
nervous متوتر
nowhere في أي مكان
obligation فرض
odd غريب
ok نعم
passage العبور
passenger راكب
pen قلم جاف
persuade يقنع
pizza بيتزا
platform برنامج
poet شاعر
pollution التلوث
pop بث
pour يصب
pray صلى
pretend يدعي
previously سابقا
pride فخر
priest كاهن
prize جائزة
promise يعد
propose اقترح
punch لكمة
quit استقال
recognition التعرف على
remarkable لافت للنظر
remind يتذكر
reply الرد
representative وكيل
reputation سمعة
resident مقيم
resist يقاوم
resort ملجأ
ring جرس
rip إرقد بسلام
roof سقف
rope حبل
rub فرك
sail ريشة
scheme مخطط
script النصي
shall سوف
shirt قميص
silly سخيف
sir سيدي المحترم
slight طفيف
smart ذكي
smile ابتسامة
sock جورب
speaker مكبر الصوت
spell تهجئه
station محطة
stranger شخص غريب
stretch تمتد
stupid غبي
submit إرسال
substantial حقيقي
suppose افترض
surgery الجراحة
suspicious مشبوه
sympathy تعاطف، عطف
tale حكاية
tall طويل
tear دمعة
temporary مؤقت
throat حلق
tiny صغير جدا
toe إصبع قدم
tomorrow غدا
tower برج
trainer مدرب
translate يترجم
truck شاحنة
uncle اخو الام
wake استيقظ
weekly أسبوعي
whoever كل من
witness الشاهد
wrap لف
yesterday في الامس
youth شباب
